species,status,is_weed,cipwg_category,source,hazard
Abelmoschus esculentus,introduced,false,,iNaturalist establishment_means (CT),
Abies balsamea,native,false,,iNaturalist establishment_means (CT),
Abutilon theophrasti,introduced,false,,iNaturalist establishment_means (CT),
Acanthus mollis,ornamental,false,,iNat cultivated scope (WS-B),
Acer campestre,introduced,false,,iNaturalist establishment_means (CT),
Acer ginnala,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Acer griseum,ornamental,false,,iNat cultivated scope (WS-B),
Acer palmatum,introduced,false,,iNaturalist establishment_means (CT),
Acer pensylvanicum,native,false,,iNaturalist establishment_means (CT),
Acer platanoides,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Acer pseudoplatanus,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Acer rubrum,native,false,,iNaturalist establishment_means (CT),
Acer saccharum,native,false,,iNaturalist establishment_means (CT),
Achillea filipendulina,introduced,false,,iNaturalist establishment_means (CT),
Achillea ptarmica,introduced,false,,iNaturalist establishment_means (CT),
Aconitum napellus,introduced,false,,iNaturalist establishment_means (CT),Highly toxic; poisonous to touch and eat
Acorus calamus,introduced,false,,iNaturalist establishment_means (CT),
Actaea pachypoda,native,false,,iNaturalist establishment_means (CT),Berries are highly toxic if eaten
Actaea rubra,unknown,false,,hazard list (2026-07 field review),Berries are highly toxic if eaten
Actinidia arguta,introduced,false,,iNaturalist establishment_means (CT),
Adiantum pedatum,native,false,,iNaturalist establishment_means (CT),
Aegopodium podagraria,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Aesculus flava,introduced,false,,iNaturalist establishment_means (CT),
Aesculus glabra,ornamental,false,,iNat cultivated scope (WS-B),
Aesculus hippocastanum,introduced,false,,iNaturalist establishment_means (CT),
Aesculus parviflora,introduced,false,,iNaturalist establishment_means (CT),
Aethusa cynapium,introduced,false,,iNaturalist establishment_means (CT),
Agalinis maritima,native,false,,iNaturalist establishment_means (CT),
Ageratum houstonianum,ornamental,false,,iNat cultivated scope (WS-B),
Agrimonia gryposepala,native,false,,iNaturalist establishment_means (CT),
Agrostemma githago,introduced,false,,iNaturalist establishment_means (CT),
Agrostis gigantea,introduced,false,,iNaturalist establishment_means (CT),
Ailanthus altissima,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Aira caryophyllea,introduced,false,,iNaturalist establishment_means (CT),
Aira praecox,introduced,false,,iNaturalist establishment_means (CT),
Ajuga genevensis,introduced,false,,iNaturalist establishment_means (CT),
Ajuga reptans,introduced,false,,iNaturalist establishment_means (CT),
Akebia quinata,introduced,false,,iNaturalist establishment_means (CT),
Albizia julibrissin,introduced,false,,iNaturalist establishment_means (CT),
Alcea rosea,introduced,false,,iNaturalist establishment_means (CT),
Alchemilla mollis,introduced,false,,iNaturalist establishment_means (CT),
Alisma triviale,native,false,,iNaturalist establishment_means (CT),
Alkekengi officinarum,introduced,false,,iNaturalist establishment_means (CT),
Alliaria petiolata,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Allium cepa,ornamental,false,,iNat cultivated scope (WS-B),
