species,common_name
Abelmoschus esculentus,Okra
Abies balsamea,balsam fir
Abies concolor,white fir
Abutilon theophrasti,velvetleaf
Acalypha gracilens,Slender Three-seeded Mercury
Acalypha rhomboidea,Common Three-seeded Mercury
Acalypha virginica,Virginia Three-seed Mercury
Acer campestre,field maple
Acer ginnala,Amur Maple
Acer negundo,box elder
Acer nigrum,black maple
Acer palmatum,Japanese maple
Acer pensylvanicum,striped maple
Acer platanoides,Norway maple
Acer pseudoplatanus,sycamore maple
Acer rubrum,red maple
Acer saccharinum,silver maple
Acer saccharum,sugar maple
Acer spicatum,Mountain Maple
Achillea filipendulina,Fern-leaf Yarrow
Achillea millefolium,common yarrow
Achillea ptarmica,Sneezewort
Aconitum napellus,Monk's-hood
Aconitum uncinatum,southern blue monkshood
Acorus americanus,American Sweet-Flag
Acorus calamus,Eurasian Sweet-Flag
Actaea pachypoda,white baneberry
Actaea racemosa,black cohosh
Actaea rubra,red baneberry
Actaea simplex,Simple bugbane
Actinidia arguta,Hardy kiwifruit
Adiantum pedatum,northern maidenhair fern
Adlumia fungosa,climbing fumitory
Aegopodium podagraria,Goutweed
Aesculus flava,yellow buckeye
Aesculus hippocastanum,horse-chestnut
Aesculus parviflora,bottlebrush buckeye
Aethusa cynapium,Fool's parsley
Agalinis maritima,Saltmarsh False Foxglove
Agalinis purpurea,purple false foxglove
Agalinis tenuifolia,slender false foxglove
Agastache foeniculum,anise hyssop
Agastache scrophulariifolia,purple giant hyssop
Ageratina altissima,white snakeroot
Ageratina aromatica,smaller white snakeroot
Agrimonia gryposepala,tall hairy agrimony
Agrimonia parviflora,swamp agrimony
Agrimonia pubescens,downy agrimony
Agrimonia striata,roadside agrimony
Agrostemma githago,corn cockle
Agrostis gigantea,redtop
Agrostis perennans,Perennial Bentgrass
Agrostis scabra,Rough Bentgrass
Ailanthus altissima,tree-of-heaven
Aira caryophyllea,Silver Hairgrass
Aira praecox,early hair grass
Ajuga genevensis,Blue Bugle
Ajuga reptans,carpet bugle
Akebia quinata,Five-leaf akebia
Albizia julibrissin,Persian silk tree
Alcea rosea,Hollyhock
Alchemilla australis,Slender parsley-piert
Alchemilla mollis,Garden Lady's-mantle
Aletris farinosa,White-tubed Colicroot
Alisma subcordatum,american water-plantain
Alisma triviale,northern water-plantain
Alkekengi officinarum,Japanese-lantern
Alliaria petiolata,garlic mustard
Allium canadense,Canadian Meadow garlic
Allium cernuum,nodding onion
Allium moly,Yellow onion
Allium ramosum,branchy onion
Allium schoenoprasum,Chives
Allium tricoccum,wide leek
Allium tuberosum,Garlic Chives
Allium vineale,wild garlic
Alnus glutinosa,common alder
Alnus incana,grey alder
Alnus serrulata,smooth alder
Alopecurus pratensis,Meadow Foxtail
Althaea officinalis,marsh mallow
Amaranthus blitum,purple amaranth
Amaranthus cannabinus,Tidalmarsh Amaranth
Amaranthus caudatus,Love-lies-bleeding
Amaranthus cruentus,Red amaranth
Amaranthus hybridus,Smooth Pigweed
Amaranthus retroflexus,Redroot Amaranth
Amaranthus spinosus,spiny amaranth
Amaranthus viridis,green amaranth
Amauropelta noveboracensis,New York fern
Ambrosia artemisiifolia,common ragweed
Ambrosia trifida,giant ragweed
Amelanchier arborea,common serviceberry
Amelanchier canadensis,Canadian serviceberry
Amelanchier laevis,smooth shadbush
Amelanchier nantucketensis,Nantucket Shadbush
Amelanchier stolonifera,Running Serviceberry
Ammannia coccinea,Scarlet Toothcup
Amorpha fruticosa,false indigo bush
Ampelopsis glandulosa,Porcelain Berry
Amphicarpaea bracteata,American hog-peanut
Amsonia tabernaemontana,eastern bluestar
Anacamptodon splachnoides,Knothole Moss
Anaphalis margaritacea,pearly everlasting
Anatherum glomeratum,Bushy Bluestem
Anatherum virginicum,broomsedge bluestem
Andersonglossum virginianum,wild comfrey
Andromeda polifolia,Wild Rosemary
Andropogon gerardi,big bluestem
Anemonastrum canadense,Canada anemone
Anemone virginiana,tall thimbleweed
Anemonoides blanda,Greek Anemone
Anemonoides nemorosa,wood anemone
Anemonoides quinquefolia,wood anemone
Anemonoides ranunculoides,Yellow Anemone
Anethum graveolens,Dill
Aneura pinguis,greasewort
Angelica atropurpurea,purple-stemmed angelica
Anomodon tristis,
Antennaria howellii,Small Pussytoes
Antennaria neglecta,Field Pussytoes
Antennaria parlinii,Parlin's Pussytoes
Antennaria plantaginifolia,plantain-leaved pussytoes
Anthoxanthum odoratum,sweet vernal grass
Anthriscus caucalis,Bur Parsley
Anthriscus sylvestris,Cow Parsley
Antirrhinum majus,Snapdragon
Aphyllon uniflorum,one-flowered cancer-root
Apios americana,American groundnut
Apocynum androsaemifolium,spreading dogbane
Apocynum cannabinum,hemp dogbane
Aquilegia atrata,Dark Columbine
Aquilegia canadensis,red columbine
Aquilegia vulgaris,common columbine
Arabidopsis lyrata,Lyreleaf Rockcress
Arabidopsis thaliana,mouse-ear cress
Arachis hypogaea,Peanut
Aralia elata,Japanese angelica tree
Aralia hispida,bristly sarsaparilla
Aralia nudicaulis,wild sarsaparilla
Aralia racemosa,American spikenard
Arceuthobium pusillum,Eastern Dwarf-mistletoe
Arctium lappa,greater burdock
Arctium minus,lesser burdock
Arctostaphylos uva-ursi,bearberry
Arenaria serpyllifolia,Thyme-leaved Sandwort
Argentina anserina,common silverweed
Arisaema dracontium,green dragon
