taxon_id,name,obs_count
82358,Chimaphila maculata,5136
56061,Alliaria petiolata,3475
48961,Symplocarpus foetidus,3332
52856,Artemisia vulgaris,3331
60367,Pyrola americana,3094
49397,Kalmia latifolia,2706
78882,Rosa multiflora,2696
49477,Monotropa uniflora,2593
54412,Polystichum acrostichoides,2531
52391,Pinus strobus,2525
67748,Maianthemum canadense,2418
64540,Celastrus orbiculatus,2357
82576,Onoclea sensibilis,2243
48599,Phytolacca americana,2226
117433,Euonymus alatus,2226
58732,Toxicodendron radicans,2207
62997,Viburnum acerifolium,2059
64697,Elaeagnus umbellata,2057
58727,Berberis thunbergii,2015
83799,Mitchella repens,1987
47911,Asclepias syriaca,1926
54795,Sassafras albidum,1924
48240,Erythronium americanum,1908
47888,Impatiens capensis,1796
69752,Houstonia caerulea,1750
47699,Geranium maculatum,1743
950598,Anemonoides quinquefolia,1713
49202,Fagus grandifolia,1710
84227,Rubus phoenicolasius,1704
59029,Verbascum thapsus,1670
52867,Clethra alnifolia,1655
51875,Trifolium pratense,1621
49399,Juniperus virginiana,1566
54834,Prunus serotina,1530
47588,Cypripedium acaule,1521
50310,Arisaema triphyllum,1511
55830,Glechoma hederacea,1498
53582,Liriodendron tulipifera,1461
76610,Daucus carota,1448
48734,Tsuga canadensis,1442
50855,Trillium erectum,1430
51970,Hamamelis virginiana,1412
51044,Sanguinaria canadensis,1389
55757,Chelidonium majus,1363
55745,Trifolium repens,1251
914922,Reynoutria japonica,1243
52764,Prunella vulgaris,1202
52821,Achillea millefolium,1190
63115,Dennstaedtia punctilobula,1166
130888,Erechtites hieraciifolius,1136
54793,Lindera benzoin,1129
51062,Maianthemum racemosum,1112
64237,Phragmites australis,1091
50278,Parthenocissus quinquefolia,1090
48098,Acer rubrum,1061
61119,Ilex verticillata,1045
79484,Veratrum viride,1043
204165,Osmundastrum cinnamomeum,1039
55620,Solanum dulcamara,1028
55844,Vinca minor,1013
55851,Lamium purpureum,1013
119828,Aralia nudicaulis,1005
61321,Lythrum salicaria,986
167829,Rhus typhina,964
53178,Plantago lanceolata,945
54763,Acer platanoides,921
144047,Persicaria virginiana,909
47697,Hesperis matronalis,902
57278,Ailanthus altissima,893
204174,Lysimachia borealis,891
119048,Ageratina altissima,888
49186,Castanea dentata,880
50790,Linaria vulgaris,851
204321,Ficaria verna,851
48038,Lobelia cardinalis,847
52927,Commelina communis,844
56099,Ajuga reptans,817
47435,Lotus corniculatus,815
143803,Persicaria longiseta,807
62406,Goodyera pubescens,805
52899,Solanum carolinense,796
54924,Medeola virginiana,796
52913,Cichorium intybus,793
83653,Rosa rugosa,785
159836,Cardamine impatiens,785
