taxon_id,species,common_name,ct_cultivated_obs
83072,Syringa vulgaris,common lilac,380
122034,Hydrangea macrophylla,mophead hydrangea,356
125742,Prunus serrulata,Japanese Cherry,349
60364,Rhododendron ponticum,Pontic Rhododendron,192
127480,Stachys byzantina,woolly hedgenettle,164
133390,Hydrangea paniculata,Panicle Hydrangea,160
208830,Rhododendron indicum,southern Indian azalea,133
83074,Magnolia grandiflora,southern magnolia,131
161582,Dahlia pinnata,Garden Dahlia,122
181901,Zinnia elegans,Elegant Zinnia,121
168387,Salvia nemorosa,Purple Wood Sage,120
128167,Paeonia officinalis,common peony,113
941713,Salvia yangii,Swanleaf Clouding Sage,101
135659,Platycladus orientalis,Chinese arborvitae,96
71147,Cryptomeria japonica,sugi,94
349271,Impatiens hawkeri,New Guinea Impatiens,93
163663,Hemerocallis lilioasphodelus,yellow daylily,88
129057,Sciadopitys verticillata,koyamaki,79
291284,Coleus scutellarioides,Coleus,79
69223,Epipremnum aureum,Golden Pothos,74
117430,Cladrastis kentukea,Kentucky yellowwood,67
61398,Ocimum basilicum,Sweet basil,65
133395,Lavandula angustifolia,Common Lavender,65
164326,Kalanchoe blossfeldiana,Flaming Katy,63
136234,Cedrus atlantica,Atlas cedar,57
160259,Celosia argentea,Quail Grass,57
165681,Nepeta racemosa,Eastern Cat-mint,56
125761,Magnolia liliiflora,Lily Magnolia,54
120525,Acer griseum,Paperbark Maple,53
76465,Crassula ovata,jade plant,52
128688,Viburnum rhytidophyllum,Leatherleaf viburnum,50
950312,Eriocapitella hupehensis,Hubei Anemone,50
163908,Hylotelephium spectabile,Butterfly Stonecrop,49
131645,Fothergilla gardenii,Coastal Witch-Alder,48
164038,Ilex cornuta,Chinese holly,48
48514,Capsicum annuum,chili pepper,47
133369,Chamaecyparis obtusa,Hinoki cypress,47
284040,Spathiphyllum wallisii,Peace Lily,45
54919,Cucumis sativus,Cucumber,44
61432,Prunus laurocerasus,Cherry laurel,44
50333,Lantana camara,common lantana,42
155984,Stokesia laevis,Stokes' aster,42
199339,Prunus campanulata,Taiwan Cherry,41
429454,Syringa meyeri,korean lilac,40
51738,Salvia officinalis,garden sage,39
126510,Dracaena reflexa,Song of India,39
126515,Dracaena fragrans,cornstalk dracaena,39
51223,Schlumbergera truncata,Crab Cactus,38
53945,Styphnolobium japonicum,Japanese pagoda tree,38
133373,Stewartia pseudocamellia,Japanese stewartia,38
426065,Hosta sieboldii,Small-leaved Plantain Lily,38
164028,Iberis sempervirens,Perennial Candytuft,37
123925,Chamaecyparis pisifera,Sawara cypress,36
327733,Mandevilla sanderi,Brazilian jasmine,36
128268,Gomphrena globosa,Globe amaranth,35
322492,Chlorophytum comosum,Spider plant,35
636795,Salvia rosmarinus,Rosemary,35
167634,Quercus acutissima,Sawtooth oak,32
