taxon_id,name,obs_count,tier
82358,Chimaphila maculata,5136,head
56061,Alliaria petiolata,3475,head
48961,Symplocarpus foetidus,3332,head
52856,Artemisia vulgaris,3331,head
60367,Pyrola americana,3094,head
49397,Kalmia latifolia,2706,head
78882,Rosa multiflora,2696,head
49477,Monotropa uniflora,2593,head
54412,Polystichum acrostichoides,2531,head
52391,Pinus strobus,2525,head
67748,Maianthemum canadense,2418,head
64540,Celastrus orbiculatus,2357,head
82576,Onoclea sensibilis,2243,head
48599,Phytolacca americana,2226,head
117433,Euonymus alatus,2226,head
58732,Toxicodendron radicans,2207,head
62997,Viburnum acerifolium,2059,head
64697,Elaeagnus umbellata,2057,head
58727,Berberis thunbergii,2015,head
83799,Mitchella repens,1987,head
47911,Asclepias syriaca,1926,head
54795,Sassafras albidum,1924,head
48240,Erythronium americanum,1908,head
47888,Impatiens capensis,1796,head
69752,Houstonia caerulea,1750,head
47699,Geranium maculatum,1743,head
950598,Anemonoides quinquefolia,1713,head
49202,Fagus grandifolia,1710,head
84227,Rubus phoenicolasius,1704,head
59029,Verbascum thapsus,1670,head
52867,Clethra alnifolia,1655,head
51875,Trifolium pratense,1621,head
49399,Juniperus virginiana,1566,head
54834,Prunus serotina,1530,head
47588,Cypripedium acaule,1521,head
50310,Arisaema triphyllum,1511,head
55830,Glechoma hederacea,1498,head
53582,Liriodendron tulipifera,1461,head
76610,Daucus carota,1448,head
48734,Tsuga canadensis,1442,head
50855,Trillium erectum,1430,head
51970,Hamamelis virginiana,1412,head
51044,Sanguinaria canadensis,1389,head
55757,Chelidonium majus,1363,head
55745,Trifolium repens,1251,head
914922,Reynoutria japonica,1243,head
52764,Prunella vulgaris,1202,head
52821,Achillea millefolium,1190,head
63115,Dennstaedtia punctilobula,1166,head
130888,Erechtites hieraciifolius,1136,head
54793,Lindera benzoin,1129,head
51062,Maianthemum racemosum,1112,head
64237,Phragmites australis,1091,head
50278,Parthenocissus quinquefolia,1090,head
48098,Acer rubrum,1061,head
61119,Ilex verticillata,1045,head
79484,Veratrum viride,1043,head
204165,Osmundastrum cinnamomeum,1039,head
55620,Solanum dulcamara,1028,head
55844,Vinca minor,1013,head
55851,Lamium purpureum,1013,head
119828,Aralia nudicaulis,1005,head
61321,Lythrum salicaria,986,head
167829,Rhus typhina,964,head
53178,Plantago lanceolata,945,head
54763,Acer platanoides,921,head
144047,Persicaria virginiana,909,head
47697,Hesperis matronalis,902,head
57278,Ailanthus altissima,893,head
204174,Lysimachia borealis,891,head
119048,Ageratina altissima,888,head
49186,Castanea dentata,880,head
50790,Linaria vulgaris,851,head
204321,Ficaria verna,851,head
48038,Lobelia cardinalis,847,head
52927,Commelina communis,844,head
56099,Ajuga reptans,817,head
47435,Lotus corniculatus,815,head
143803,Persicaria longiseta,807,head
62406,Goodyera pubescens,805,head
52899,Solanum carolinense,796,head
54924,Medeola virginiana,796,head
52913,Cichorium intybus,793,head
83653,Rosa rugosa,785,head
159836,Cardamine impatiens,785,head
52763,Cephalanthus occidentalis,778,head
77835,Lonicera japonica,778,head
127186,Securigera varia,775,head
123049,Panax trifolius,774,head
1398911,Amauropelta noveboracensis,758,head
129020,Veronica officinalis,751,head
47602,Taraxacum officinale,747,head
49868,Aquilegia canadensis,736,head
125489,Rubus occidentalis,727,head
204237,Ampelopsis glandulosa,713,head
79109,Silene latifolia,712,head
1002684,Osmunda spectabilis,712,head
62351,Lobelia inflata,696,head
54410,Dryopteris marginalis,690,head
56224,Caltha palustris,684,head
118548,Thalictrum thalictroides,677,head
82580,Lysimachia quadrifolia,669,head
121031,Comptonia peregrina,664,head
54779,Quercus alba,655,head
58795,Apocynum cannabinum,652,head
126698,Rhus copallinum,650,head
62376,Gaultheria procumbens,645,head
84300,Sambucus canadensis,645,head
62741,Rudbeckia hirta,635,head
52599,Pontederia cordata,623,head
127685,Eurybia divaricata,620,head
55829,Cardamine hirsuta,611,head
204198,Dendrolycopodium obscurum,610,head
64541,Dianthus armeria,606,head
67772,Uvularia sessilifolia,602,head
56137,Ornithogalum umbellatum,600,head
49662,Platanus occidentalis,587,head
59986,Monotropa hypopitys,586,head
126823,Spiraea alba,585,head
47912,Asclepias tuberosa,584,head
85325,Geum canadense,581,head
52989,Cirsium vulgare,575,head
82568,Dryopteris intermedia,556,head
128551,Solidago rugosa,555,head
49882,Betula alleghaniensis,551,head
81797,Hypoxis hirsuta,550,head
63062,Actaea pachypoda,543,head
116710,Microstegium vimineum,541,head
130893,Euonymus fortunei,538,head
287345,Linaria canadensis,537,head
51053,Dicentra cucullaria,533,head
48095,Acer pensylvanicum,531,head
85485,Amphicarpaea bracteata,531,head
125381,Asclepias incarnata,530,head
53587,Ambrosia artemisiifolia,525,head
55972,Frangula alnus,525,head
63058,Osmunda claytoniana,525,head
60746,Smilax rotundifolia,524,head
55882,Hedera helix,522,head
204271,Circaea canadensis,515,head
119045,Eupatorium perfoliatum,512,head
52543,Acer saccharum,511,head
142928,Pachysandra terminalis,505,head
52681,Pteridium aquilinum,502,head
84813,Baccharis halimifolia,497,head
55634,Allium tricoccum,494,head
204176,Micranthes virginiensis,487,head
49288,Podophyllum peltatum,475,head
60749,Ilex opaca,475,head
741014,Hepatica americana,461,head
49157,Betula lenta,457,head
62441,Lysimachia ciliata,457,head
56088,Robinia pseudoacacia,452,head
740984,Silene flos-cuculi,452,head
120005,Solidago caesia,446,head
81831,Smilax glauca,441,head
204160,Ligustrum obtusifolium,435,head
81597,Potentilla canadensis,434,head
64544,Morella pensylvanica,428,head
117434,Claytonia virginica,428,head
56154,Saponaria officinalis,426,head
60251,Verbena hastata,426,head
54411,Polypodium virginianum,425,head
52724,Equisetum arvense,416,head
52471,Vicia cracca,412,head
204179,Persicaria sagittata,410,head
53195,Rumex acetosella,407,head
54777,Cornus florida,406,head
55749,Veronica serpyllifolia,405,head
204143,Athyrium angustum,398,head
82316,Chelone glabra,397,head
119817,Apios americana,394,head
48435,Adiantum pedatum,389,head
126371,Ranunculus abortivus,388,head
146717,Solidago bicolor,388,head
85320,Monarda fistulosa,386,head
122100,Diphasiastrum digitatum,386,head
62211,Potentilla recta,384,head
81897,Baptisia tinctoria,382,head
82310,Carex lurida,380,head
83154,Zizia aurea,380,head
54768,Carpinus caroliniana,378,head
47726,Acer negundo,375,head
62399,Mimulus ringens,375,head
128040,Viola cucullata,373,head
51119,Nymphaea odorata,371,head
497911,Polygaloides paucifolia,371,head
63371,Rumex obtusifolius,364,head
76907,Erigeron canadensis,360,head
131165,Iva frutescens,359,head
54764,Rhus glabra,357,head
54791,Carya ovata,355,head
128715,Thalictrum pubescens,349,head
62778,Clematis virginiana,346,head
127322,Polygonatum pubescens,345,head
53041,Kalmia angustifolia,344,head
117437,Phlox paniculata,343,head
56222,Tussilago farfara,340,head
54839,Populus grandidentata,339,head
48682,Spiraea tomentosa,336,head
59753,Erigeron pulchellus,335,head
49005,Quercus rubra,334,head
62367,Melampyrum lineare,334,head
58749,Cornus amomum,333,head
55854,Datura stramonium,332,head
75371,Allium vineale,332,head
128095,Carex intumescens,331,head
47779,Iris pseudacorus,330,head
63567,Picea abies,330,head
82407,Huperzia lucidula,328,head
126888,Solidago sempervirens,326,head
54854,Tilia americana,324,head
53464,Pinus rigida,317,head
56057,Leucanthemum vulgare,314,head
243824,Potentilla indica,312,head
128686,Quercus montana,311,head
204148,Capnoides sempervirens,311,head
51741,Aegopodium podagraria,305,head
129278,Verbena urticifolia,304,head
62685,Epifagus virginiana,303,head
122056,Asplenium platyneuron,301,head
64293,Triodanis perfoliata,297,head
60132,Cirsium arvense,292,head
118512,Cardamine diphylla,292,head
48618,Echinocystis lobata,291,head
1278022,Callicladium imponens,288,head
132625,Lyonia ligustrina,285,head
55823,Draba verna,284,head
58893,Euphorbia maculata,281,head
130989,Euthamia graminifolia,281,head
55925,Geranium robertianum,275,head
62207,Oenothera biennis,275,head
158549,Aralia elata,274,head
51809,Lysimachia nummularia,268,head
54775,Cornus alternifolia,268,head
82574,Matteuccia struthiopteris,268,head
