species,accuracy,n
Ailanthus altissima,0.5600,25
Celastrus orbiculatus,0.6000,25
Juniperus virginiana,0.6400,25
Sassafras albidum,0.6800,25
Fagus grandifolia,0.7200,25
Prunus serotina,0.7200,25
Reynoutria japonica,0.7200,25
Amauropelta noveboracensis,0.7200,25
Elaeagnus umbellata,0.7600,25
Clethra alnifolia,0.7600,25
Acer rubrum,0.7600,25
Maianthemum canadense,0.8000,25
Phytolacca americana,0.8000,25
Glechoma hederacea,0.8000,25
Lindera benzoin,0.8000,25
Vinca minor,0.8000,25
Hesperis matronalis,0.8000,25
Lonicera japonica,0.8000,25
Veronica officinalis,0.8000,25
Lobelia inflata,0.8000,25
Alliaria petiolata,0.8400,25
Onoclea sensibilis,0.8400,25
Berberis thunbergii,0.8400,25
Verbascum thapsus,0.8400,25
Trifolium pratense,0.8400,25
Tsuga canadensis,0.8400,25
Hamamelis virginiana,0.8400,25
Prunella vulgaris,0.8400,25
Achillea millefolium,0.8400,25
Ilex verticillata,0.8400,25
Osmundastrum cinnamomeum,0.8400,25
Aralia nudicaulis,0.8400,25
Plantago lanceolata,0.8400,25
Acer platanoides,0.8400,25
Osmunda spectabilis,0.8400,25
Kalmia latifolia,0.8800,25
Pinus strobus,0.8800,25
Toxicodendron radicans,0.8800,25
Daucus carota,0.8800,25
Dennstaedtia punctilobula,0.8800,25
Erechtites hieraciifolius,0.8800,25
Parthenocissus quinquefolia,0.8800,25
Lythrum salicaria,0.8800,25
Rhus typhina,0.8800,25
Ficaria verna,0.8800,25
Commelina communis,0.8800,25
Cephalanthus occidentalis,0.8800,25
Aquilegia canadensis,0.8800,25
Rubus occidentalis,0.8800,25
Ampelopsis glandulosa,0.8800,25
Pyrola americana,0.9200,25
Euonymus alatus,0.9200,25
Rubus phoenicolasius,0.9200,25
Maianthemum racemosum,0.9200,25
Solanum dulcamara,0.9200,25
Lamium purpureum,0.9200,25
Persicaria virginiana,0.9200,25
Ageratina altissima,0.9200,25
Castanea dentata,0.9200,25
Lobelia cardinalis,0.9200,25
Persicaria longiseta,0.9200,25
Medeola virginiana,0.9200,25
Taraxacum officinale,0.9200,25
Chimaphila maculata,0.9600,25
Rosa multiflora,0.9600,25
Mitchella repens,0.9600,25
Asclepias syriaca,0.9600,25
Houstonia caerulea,0.9600,25
Cypripedium acaule,0.9600,25
Arisaema triphyllum,0.9600,25
Liriodendron tulipifera,0.9600,25
Trifolium repens,0.9600,25
Phragmites australis,0.9600,25
Lysimachia borealis,0.9600,25
Ajuga reptans,0.9600,25
Goodyera pubescens,0.9600,25
Rosa rugosa,0.9600,25
Cardamine impatiens,0.9600,25
Dryopteris marginalis,0.9600,25
Caltha palustris,0.9600,25
Symplocarpus foetidus,1.0000,25
Artemisia vulgaris,1.0000,25
Monotropa uniflora,1.0000,25
Polystichum acrostichoides,1.0000,25
Viburnum acerifolium,1.0000,25
Erythronium americanum,1.0000,25
Impatiens capensis,1.0000,25
Geranium maculatum,1.0000,25
Anemonoides quinquefolia,1.0000,25
Trillium erectum,1.0000,25
Sanguinaria canadensis,1.0000,25
Chelidonium majus,1.0000,25
Veratrum viride,1.0000,25
Linaria vulgaris,1.0000,25
Lotus corniculatus,1.0000,25
Solanum carolinense,1.0000,25
Cichorium intybus,1.0000,25
Securigera varia,1.0000,25
Panax trifolius,1.0000,25
Silene latifolia,1.0000,25
