fn_img,fn_species,fn_label,fn_conf,pt_species,species_agree,genus_agree
6015,Picea glauca,LIKELY,62,Picea glauca,1,1
6017,Picea pungens,POSSIBLE,59,Picea abies,0,1
6019,Melilotus officinalis,POSSIBLE,45,Spiraea japonica,0,0
6021,Hylotelephium spectabile,STRONG,86,Hylotelephium telephium,0,1
6023,Hydrangea macrophylla,STRONG,98,Hydrangea macrophylla,1,1
6025,Rhododendron mucronulatum,UNCERTAIN,,Kalmia latifolia,0,0
6027,Astilbe chinensis,STRONG,100,Astilbe japonica,0,1
6029,Hosta plantaginea,LIKELY,64,Hosta sieboldii,0,1
6031,Oxalis stricta,LIKELY,68,Oxalis dillenii,0,1
6033,Persicaria maculosa,UNCERTAIN,,Persicaria maculosa,1,1
6035,Deutzia scabra,OOD,,Spiraea japonica,0,0
6037,Hosta sieboldiana,UNCERTAIN,,Hydrangea macrophylla,0,0
6039,Fothergilla gardenii,OOD,,Hibiscus syriacus,0,0
6041,Abies concolor,LIKELY,62,Picea abies,0,0
6043,Clerodendrum trichotomum,POSSIBLE,41,Fothergilla major,0,0
6045,Prunus laurocerasus,STRONG,91,Ilex glabra,0,0
6047,Chamaecyparis obtusa,UNCERTAIN,,Juniperus horizontalis,0,0
6049,Iberis sempervirens,UNCERTAIN,,Phedimus aizoon,0,0
6051,Hylotelephium spectabile,STRONG,81,Phedimus aizoon,0,0
6053,Hosta plantaginea,STRONG,99,Hosta sieboldii,0,1
6055,Sagina procumbens,POSSIBLE,48,Phlox subulata,0,0
6057,Acer rubrum,STRONG,82,Acer rubrum,1,1
6059,Hemerocallis lilioasphodelus,LIKELY,72,Hemerocallis fulva,0,1
6061,Nasturtium officinale,POSSIBLE,51,Rosa hybrida,0,0
6063,Athyrium angustum,UNCERTAIN,,Parathelypteris noveboracensis,0,0
6065,Vaccinium pallidum,STRONG,85,Spiraea japonica,0,0
6067,Hylotelephium spectabile,STRONG,99,Hylotelephium spectabile,1,1
6069,Rhododendron indicum,UNCERTAIN,,Cuphea ignea,0,0
6071,Leucanthemum maximum,STRONG,84,Leucanthemum superbum,0,1
6073,Oxalis stricta,STRONG,84,Oxalis dillenii,0,1
6075,Menispermum canadense,LIKELY,64,Alliaria petiolata,0,0
6077,Samolus parviflorus,POSSIBLE,52,Taraxacum officinale,0,0
6079,Clematis terniflora,POSSIBLE,42,Rhamnus cathartica,0,0
6081,Hylotelephium spectabile,STRONG,99,Hylotelephium spectabile,1,1
6083,Veronica americana,UNCERTAIN,,Persicaria longiseta,0,0
6085,Oxalis stricta,POSSIBLE,55,Oxalis corniculata,0,1
6087,Salvia elegans,LIKELY,78,Monarda fistulosa,0,0
6089,Hosta sieboldii,UNCERTAIN,,Hosta sieboldii,1,1
6091,Osmunda claytoniana,STRONG,100,Claytosmunda claytoniana,1,1
6093,Erechtites hieraciifolius,POSSIBLE,50,Erechtites hieraciifolia,1,1
6095,Solidago ulmifolia,UNCERTAIN,,Solidago rugosa,0,1
6097,Erigeron canadensis,UNCERTAIN,,Artemisia vulgaris,0,0
6099,Toxicodendron radicans,STRONG,100,Toxicodendron radicans,1,1
6101,Toxicodendron radicans,POSSIBLE,57,Toxicodendron radicans,1,1
6103,Toxicodendron radicans,STRONG,99,Toxicodendron radicans,1,1
6105,Oxalis stricta,POSSIBLE,48,Oxalis dillenii,0,1
6107,Acalypha rhomboidea,STRONG,100,Acalypha virginica,1,1
6109,Lamium amplexicaule,POSSIBLE,56,Marchantia polymorpha,0,0
6111,Solidago rugosa,STRONG,99,Solidago rugosa,1,1
6113,Parthenocissus inserta,UNCERTAIN,,Parthenocissus quinquefolia,0,1
6115,Acer pseudoplatanus,POSSIBLE,52,Acer rubrum,0,1
6117,Asparagus aethiopicus,STRONG,94,Phlox subulata,0,0
6119,Fritillaria imperialis,POSSIBLE,48,Lilium lancifolium,0,0
6121,Buxus microphylla,STRONG,97,Ilex glabra,0,0
